epoch,accuracy,loss,val_accuracy,val_loss,val_zero_one_loss,zero_one_loss
0,0.6508532166481018,0.6734606027603149,0.6413130760192871,0.6928480267524719,0.3586869537830353,0.3491467833518982
1,0.7404794096946716,0.5263686180114746,0.6779423356056213,0.75031977891922,0.3220576345920563,0.25952059030532837
2,0.7941750288009644,0.44023382663726807,0.7756205201148987,0.4922693967819214,0.2243795096874237,0.20582495629787445
3,0.8356603384017944,0.36528560519218445,0.8386709094047546,0.3851906359195709,0.16132906079292297,0.16433969140052795
4,0.8690887093544006,0.30133748054504395,0.8634908199310303,0.33022987842559814,0.13650920987129211,0.13091127574443817
5,0.8893058896064758,0.2606492340564728,0.803843080997467,0.413266658782959,0.19615691900253296,0.11069408804178238
6,0.9071710705757141,0.2235020101070404,0.893714964389801,0.2573000192642212,0.10628502815961838,0.0928289070725441
7,0.9197317957878113,0.1970607042312622,0.7992393970489502,0.46592122316360474,0.2007606029510498,0.08026822656393051
8,0.928789496421814,0.17724856734275818,0.8867093920707703,0.2885233461856842,0.11329063028097153,0.07121052592992783
9,0.9389981627464294,0.15874364972114563,0.896717369556427,0.2583227753639221,0.1032826229929924,0.06100185215473175
10,0.9440524578094482,0.14040537178516388,0.8686949610710144,0.3151674270629883,0.1313050389289856,0.05594755709171295
11,0.9532602429389954,0.12211106717586517,0.9241393208503723,0.19525876641273499,0.07586068660020828,0.04673972725868225
12,0.9565130472183228,0.10820078104734421,0.9003202319145203,0.2937430143356323,0.09967974573373795,0.04348696395754814
13,0.9640194177627563,0.09597095102071762,0.8941152691841125,0.30735963582992554,0.10588470846414566,0.03598058223724365
14,0.9664214849472046,0.08924216777086258,0.9231384992599487,0.2386724054813385,0.07686148583889008,0.0335785411298275
15,0.9674723744392395,0.0847279354929924,0.9181345105171204,0.22446013987064362,0.08186548948287964,0.03252764791250229
16,0.972126305103302,0.07447393238544464,0.9219375252723694,0.2328488528728485,0.07806245237588882,0.02787369303405285
17,0.976379930973053,0.06552670150995255,0.919135332107544,0.23338653147220612,0.08086469024419785,0.02362007647752762
18,0.9812840819358826,0.052957501262426376,0.9319455623626709,0.19836761057376862,0.0680544450879097,0.018715908750891685
19,0.9799829721450806,0.05535927414894104,0.8813050389289856,0.36150607466697693,0.11869495362043381,0.02001701481640339
20,0.979582667350769,0.055975522845983505,0.8917133808135986,0.33591723442077637,0.10828662663698196,0.020417355000972748
21,0.9817344546318054,0.04781930148601532,0.943154513835907,0.2057340145111084,0.05684547498822212,0.01826552487909794
22,0.9816844463348389,0.04870355874300003,0.9427542090415955,0.2001257687807083,0.05724579840898514,0.018315568566322327
23,0.9829354882240295,0.04478446766734123,0.9395516514778137,0.21126657724380493,0.060448359698057175,0.017064504325389862
24,0.9844367504119873,0.0420728363096714,0.9281424880027771,0.21438737213611603,0.07185748964548111,0.015563229098916054
25,0.9851874113082886,0.03999530151486397,0.9203362464904785,0.2636168599128723,0.0796637311577797,0.014812590554356575
26,0.9870389699935913,0.03705523535609245,0.9263410568237305,0.2549341320991516,0.07365892827510834,0.012961016967892647
